country,iptc_id,months_total,months_ok,ratio_ok,coverage_level
CE,01000000,36,36,1.0,monthly
CE,03000000,36,36,1.0,monthly
CE,04000000,72,72,1.0,monthly
CE,05000000,36,36,1.0,monthly
CE,07000000,36,36,1.0,monthly
CE,11000000,36,36,1.0,monthly
CE,14000000,36,36,1.0,monthly
CE,16000000,72,72,1.0,monthly
HO,01000000,36,36,1.0,monthly
HO,03000000,36,36,1.0,monthly
HO,04000000,72,72,1.0,monthly
HO,05000000,36,36,1.0,monthly
HO,07000000,36,36,1.0,monthly
HO,11000000,36,36,1.0,monthly
HO,14000000,36,36,1.0,monthly
HO,16000000,72,72,1.0,monthly
HR,01000000,36,36,1.0,monthly
HR,03000000,36,36,1.0,monthly
HR,04000000,72,72,1.0,monthly
HR,05000000,36,36,1.0,monthly
HR,07000000,36,36,1.0,monthly
HR,11000000,36,36,1.0,monthly
HR,14000000,36,36,1.0,monthly
HR,16000000,72,72,1.0,monthly
KG,01000000,36,36,1.0,monthly
KG,03000000,36,36,1.0,monthly
KG,04000000,72,72,1.0,monthly
KG,05000000,36,36,1.0,monthly
KG,07000000,36,36,1.0,monthly
KG,11000000,36,36,1.0,monthly
KG,14000000,36,36,1.0,monthly
KG,16000000,72,72,1.0,monthly
LO,01000000,36,36,1.0,monthly
LO,03000000,36,36,1.0,monthly
LO,04000000,72,72,1.0,monthly
LO,05000000,36,36,1.0,monthly
LO,07000000,36,36,1.0,monthly
LO,11000000,36,36,1.0,monthly
LO,14000000,36,36,1.0,monthly
LO,16000000,72,72,1.0,monthly
SA,01000000,36,36,1.0,monthly
SA,03000000,36,36,1.0,monthly
SA,04000000,72,72,1.0,monthly
SA,05000000,36,36,1.0,monthly
SA,07000000,36,36,1.0,monthly
SA,11000000,36,36,1.0,monthly
SA,14000000,36,36,1.0,monthly
SA,16000000,72,72,1.0,monthly
