country,theme_code,months_total,months_ok,min_docs,median_docs,ratio_ok,trend_category,std_docs,decision
CE,CRISISLEX,36,36,8428,11723.0,1.0,Azalan,5064.42,quarterly
CE,ECON,36,36,4307,6845.5,1.0,Azalan,4734.64,quarterly
CE,EDUCATION,36,36,3150,5193.5,1.0,Artan,1301.24,monthly
CE,EPU,36,36,9610,13512.0,1.0,Azalan,5265.35,quarterly
CE,GENERAL,36,36,7655,10193.0,1.0,Azalan,4872.16,quarterly
CE,KILL,36,36,2273,3031.0,1.0,Azalan,1320.13,quarterly
CE,LEADER,36,36,4655,7865.5,1.0,Azalan,5027.33,quarterly
CE,MANMADE,36,36,3563,5280.5,1.0,Azalan,2256.45,quarterly
CE,MEDIA,36,36,3642,5456.0,1.0,Stabil,2268.41,monthly
CE,MEDICAL,36,36,3146,4154.0,1.0,Azalan,1884.67,quarterly
HO,CRISISLEX,36,36,3675,8491.0,1.0,Azalan,3151.95,quarterly
HO,ECON,36,36,1275,2401.0,1.0,Stabil,910.03,monthly
HO,EDUCATION,36,36,1369,3164.5,1.0,Azalan,1261.69,quarterly
HO,EPU,36,36,4084,8809.5,1.0,Azalan,3271.48,quarterly
HO,GENERAL,36,36,2995,6226.5,1.0,Azalan,2444.1,quarterly
HO,KILL,36,36,1133,2772.5,1.0,Azalan,1832.56,quarterly
HO,LEADER,36,36,2427,5481.5,1.0,Azalan,2174.88,quarterly
HO,MANMADE,36,36,1344,3253.0,1.0,Azalan,1702.79,quarterly
HO,MEDIA,36,36,1280,2470.5,1.0,Azalan,1200.98,quarterly
HO,MEDICAL,36,36,1248,2607.5,1.0,Azalan,1292.2,quarterly
HR,CRISISLEX,36,36,13003,21247.5,1.0,Artan,4725.15,monthly
HR,ECON,36,36,4597,7040.5,1.0,Azalan,1018.7,quarterly
HR,EDUCATION,36,36,3859,7210.5,1.0,Azalan,1522.06,quarterly
HR,EPU,36,36,16795,25710.5,1.0,Artan,4417.31,monthly
HR,GENERAL,36,36,11903,17516.5,1.0,Artan,3047.75,monthly
HR,KILL,36,36,3140,5136.5,1.0,Artan,1763.97,monthly
HR,LEADER,36,36,8458,12598.0,1.0,Azalan,2736.11,quarterly
HR,MANMADE,36,36,4540,8180.5,1.0,Azalan,2335.46,quarterly
HR,MEDIA,36,36,4685,7331.0,1.0,Stabil,1730.32,monthly
HR,MEDICAL,36,36,3553,5830.0,1.0,Artan,1312.02,monthly
KG,CRISISLEX,36,36,6069,8270.5,1.0,Azalan,2308.86,quarterly
KG,ECON,36,36,2590,3617.5,1.0,Azalan,885.41,quarterly
KG,EDUCATION,36,36,2895,4053.0,1.0,Azalan,1146.61,quarterly
KG,EPU,36,36,7175,10081.0,1.0,Artan,2647.13,monthly
KG,GENERAL,36,36,5271,7555.0,1.0,Azalan,2002.98,quarterly
KG,KILL,36,36,1324,1934.0,1.0,Azalan,1034.91,quarterly
KG,LEADER,36,36,3255,5488.0,1.0,Azalan,2441.51,quarterly
KG,MANMADE,36,36,2088,3341.5,1.0,Azalan,1503.66,quarterly
KG,MEDIA,36,36,2659,4255.5,1.0,Azalan,1272.23,quarterly
KG,MEDICAL,36,36,2181,3206.0,1.0,Azalan,878.34,quarterly
LO,CRISISLEX,36,36,5229,8283.0,1.0,Azalan,3752.49,quarterly
LO,ECON,36,36,1813,2896.5,1.0,Stabil,783.41,monthly
LO,EDUCATION,36,36,1859,3013.5,1.0,Azalan,906.52,quarterly
LO,EPU,36,36,5610,9285.5,1.0,Azalan,4005.3,quarterly
LO,GENERAL,36,36,5792,9337.5,1.0,Azalan,3841.05,quarterly
LO,KILL,36,36,1446,2601.5,1.0,Azalan,1221.4,quarterly
LO,LEADER,36,36,3591,6325.5,1.0,Azalan,3689.87,quarterly
LO,MANMADE,36,36,2232,3703.0,1.0,Azalan,1834.62,quarterly
LO,MEDIA,36,36,2332,3761.0,1.0,Azalan,2183.62,quarterly
LO,MEDICAL,36,36,1184,2107.5,1.0,Azalan,2276.07,quarterly
SA,CRISISLEX,36,36,23050,41288.0,1.0,Artan,15564.43,monthly
SA,ECON,36,36,14069,20028.0,1.0,Artan,7719.12,monthly
SA,EDUCATION,36,36,6831,11169.0,1.0,Artan,4021.65,monthly
SA,EPU,36,36,29371,50969.5,1.0,Artan,18032.85,monthly
SA,GENERAL,36,36,19045,31872.0,1.0,Artan,11673.33,monthly
SA,KILL,36,36,6652,13719.0,1.0,Artan,8254.7,monthly
SA,LEADER,36,36,15020,26798.5,1.0,Artan,11702.78,monthly
SA,MANMADE,36,36,9042,17535.5,1.0,Azalan,8051.56,quarterly
SA,MEDIA,36,36,10496,17090.0,1.0,Artan,6869.24,monthly
SA,MEDICAL,36,36,6948,11284.0,1.0,Artan,5631.88,monthly
